;title;date;description;price;keys;path
0;Galpon En Venta 400;2023-06-20;GALPON  En venta, 400 m2, zona Pacata, inmediaciones colegio Calvert. Ref. 76139401;;Cochabamba -  Venta -  Depósitos Galpones;/anuncio/inmuebles/galpon-en-venta-400/2019423
1;39 800 $us Tienda;2023-06-19;39.800 $US tienda a estrenar, iglesia Cala Cala, inmediaciones. 79786019.;$us 39 800;Cochabamba -  Venta -  Local Comercial;/anuncio/inmuebles/39-800-us-tienda/2015299
2;Casa En Venta Superficie;2023-06-19;CASA En venta superficie 325 m2 ubicado en Av. Ferrocarril y Chuiquisaca este Quillacollo Cel. 70368276, 70756211;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/casa-en-venta-superficie/2017115
3;Casa 2 Pisos Garaje;2023-06-19;CASA 2 pisos, garaje, 3 dormitorios, cocina, baño, cuarto, estudio, living comedor. 70568365 (Pacata Baja).;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/casa-2-pisos-garaje/2017770
4;Vendo Departamento América Casi;2023-06-19;VENDO Departamento: América casi Libertador, 3 dormitorios, 2 baños. 90 m2 sin garaje Ref. 70744006;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/vendo-departamento-america-casi/2017843
5;Vendo Departamento En Zona;2023-06-19;VENDO Departamento en zona Anglo Americano a estrenar, 2 dormitorios. Cel. 76477733.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/vendo-departamento-en-zona/2017856
6;Dueños Venden 2 Terrenos;2023-06-19;DUEñOS venden 2 terrenos de 616 m2, en urbanización exclusiva, Lomas de Aranjuez, bajo la cota y papeles al día. Ref. 72212874.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/duenos-venden-2-terrenos/2017879
7;Urgente Vendo Lote Tiquipaya;2023-06-19;URGENTE vendo lote, Tiquipaya, 200, 600 m2, todos los servicios, con casita permuto. Cel. 63870546.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/urgente-vendo-lote-tiquipaya/2017885
8;Urgente Lotes Amurallados De;2023-06-19;URGENTE lotes, amurallados, de 200 y 300 m2, a 280 $us m2, cerca puente nuevo, de Derechos Reales del Sur. Ref. 70732202.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/urgente-lotes-amurallados-de/2017893
9;Lote Amurallado 30 000;2023-06-19;LOTE amurallado, 30.000 $us, 320 m2, zona Fábrica Copelme. Ref. 72004478.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/lote-amurallado-30-000/2017899
10;Pacata Baja 3 Dormitorios;2023-06-19;PACATA BAJA 3 dormitorios, cocina, baño, cuarto de estudio, living comedor, garaje. 70568365 (Pacata Baja).;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/pacata-baja-3-dormitorios/2018012
11;Alquilo Bonito Departamento De;2023-06-19;ALQUILO bonito departamento, de una habitación a matrimonio, céntrico, 4 cuadras para plaza principal, 2 para la Calatayud. Ref. 78318452.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquilo-bonito-departamento-de/2018037
12;Tiendas Centricas En Alquiler;2023-06-19;TIENDAS CENTRICAS en alquiler, sobre la calle Mayor Rocha Nro 265 entre España y Baptista, con mezanine y baño privado, llamar al Cel. 76483735.;;Cochabamba -  Alquiler -  Local Comercial;/anuncio/inmuebles/tiendas-centricas-en-alquiler/2018071
13;Anticretico Oficina Céntrica Ref;2023-06-19;ANTICRETICO oficina céntrica. Ref. 62602988.;;Cochabamba -  Anticrético -  Oficina;/anuncio/inmuebles/anticretico-oficina-centrica-ref/2018181
14;Dueño Vende Casa Sarco;2023-06-19;DUEñO Vende casa Sarco 63991849;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/dueno-vende-casa-sarco/2018893
15;Doy Casa En Alquiler;2023-06-19;DOY CASA en alquiler, independiente, 3 dormitorios, sala, comedor, baño, cocina, lavandería, patio y otros, 2 cuartos, con baño amplios, tienda tras tienda, hacia la calle, apto para cualquier negocio o vivienda, 3.000 Bs. Ref. 67589908, 71416568, zona Jaihuayco, próximo UE FAB;;Cochabamba -  Alquiler -  Casa / Chalet;/anuncio/inmuebles/doy-casa-en-alquiler/2019074
