;title;date;description;price;keys;path
0;Alquiler Departamentos Garzonier Baño;2023-02-24;ALQUILER Departamentos, garzonier, baño, cocina, Capitàn Ustariz Km. 8, celular 64970699, 72740939, 76429401, 76962664;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquiler-departamentos-garzonier-bano/1973277
1;13 900 $us Monoambientes;2023-02-24;13.900 $US monoambientes, 35.000 $us, departamentos, preventa, frente iglesia Cala Cala. 79786019.;$us 13 900;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/13-900-us-monoambientes/1976080
2;65 000 $us Prado;2023-02-24;65.000 $US Prado, inmediaciones, departamento, céntrico, acepto financiamiento. 79786019.;$us 65 000;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/65-000-us-prado/1976313
3;85 000 $us Departamento;2023-02-24;85.000 $US departamento en anticrético, 1 dormitorio, sala, cocina y baño, zona norte. 75984046, 74571393, 4470200.;$us 85 000;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/85-000-us-departamento/1978634
4;Edificio Verona Calle Inti;2023-02-24;"EDIFICIO ""VERONA"" Calle Inti Raymi casi Av. América frente al Parque José Marti. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con piscina, sauna, parrillero y área social. Cel. 67598803.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-verona-calle-inti/1978824
5;Edificio Tribeca Soho Av;2023-02-24;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean. Departamentos a estrenar de: 1, 2, 3, 4 dormitorios. Acabado de primera calidad. Edificio con: piscina, sauna, parrillero y área social. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/edificio-tribeca-soho-av/1978825
6;27 900 $us Monoambiente;2023-02-24;27.900 $US monoambiente, a estrenar, frente a parque zona Iglesia Cala Cala. 79786019.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/27-900-us-monoambiente/1978826
7;Edificio Tribeca Soho Av;2023-02-24;"EDIFICIO ""TRIBECA SOHO"" Av. Heroínas Esq. Aurelio Melean, oficinas de: 34, 52, 56, 100 mts. del piso 1 al 3. Cel. 74577718, Cel. Of. 72202293.";;Cochabamba -  Venta -  Oficina;/anuncio/inmuebles/edificio-tribeca-soho-av/1978843
8;Dueño Vende Casa Como;2023-02-24;DUEñO vende casa como terreno, barrio periodista, América oeste, 270 mts, $us 145.000. 4422244, 69455890.;$us 145 000;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/dueno-vende-casa-como/1979222
9;Vendo Casa A Estrenar;2023-02-24;VENDO casa a estrenar, de 3 pisos, véalo sin compromiso, zona Coña Coña, Km 6, Av. Blanco Galindo al norte, 6 cuadras. 75481717.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/vendo-casa-estrenar/1979195
10;Casa América Oeste 3;2023-02-24;CASA América oeste, 3 suites, dependencias, $us 130.000, con financiamiento bancario. 76439090.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/casa-america-oeste-3/1979271
11;Vendo Departamento América Casi;2023-02-24;VENDO Departamento América casi libertador 90 mts 3 dormitorios 2 baños sin garaje. Cel 70744006;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/vendo-departamento-america-casi/1979304
12;Vendo Lote De 145;2023-02-24;VENDO Lote de 145 m2 cerca Stadium y Caja CORDES. Referencia 70342614;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/vendo-lote-de-145/1979372
13;Lote De 237 M2;2023-02-24;LOTE de 237 m2, sobre Av. Chapare. Ref. 69530114.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/lote-de-237-m2/1979373
14;Propietario Vende Lote Con;2023-02-24;PROPIETARIO vende lote, con construcción antigua, 315.57 m2, zona Sarco, c/Araona y Yura care, frente Universidad Domingo Savio. Ref. 76936053, 71712450, 71712333.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/propietario-vende-lote-con/1979375
15;39 500 $us Tiendas;2023-02-24;39.500 $US tiendas, a la vuelta iglesia Cala Cala. 79786019.;$us 39 500;Cochabamba -  Venta -  Local Comercial;/anuncio/inmuebles/39-500-us-tiendas/1979422
16;Dueña Alquila Departamentos Amplios;2023-02-24;DUEñA alquila departamentos amplios, de 2 o 3 habitaciones, totalmente independiente. Cel. 62994992.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/duena-alquila-departamentos-amplios/1979488
17;Casita De 2 Habitaciones;2023-02-24;CASITA de 2 habitaciones y dependencias, sobre Av. Chapare. Ref. 69530114.;;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/casita-de-2-habitaciones/1979619
18;Casita De 3 Habitaciones;2023-02-24;CASITA de 3 habitaciones y dependencias, sobre Av. Chapare. Ref. 69530114.;;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/casita-de-3-habitaciones/1979620
19;10 000 $us Parqueo;2023-02-24;10.000 $US parqueo, más baulera, zona Cala Cala, a la vuelta de la iglesia. 79786019.;$us 10 000;Cochabamba -  Anticrético -  Departamento;/anuncio/inmuebles/10-000-us-parqueo/1979682
20;Propietaria Vende Casa En;2023-02-24;PROPIETARIA Vende casa en Irpavi Zona Sur, Construcción 328 m2, superficie 631 m2 Ref. 75901774;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/propietaria-vende-casa-en/1981521
21;Casa En Venta Av;2023-02-24;CASA en venta, Av. Barrientos, Y. Yacuiba Nro 0546, zona centro, una cuadra de la parada de taxis a Cliza y transporte, P. Baja, baño, cocina 3 cuartos amplios, 1 piso, sala comedor, cocina, baño, 2 cuartos, garaje, 2do piso, 3 dormitorios, baño, 180.000 $us. Cel. 76383618, Sup. 221 mts.;$us 180 000;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/casa-en-venta-av/1981523
22;En Venta Anticrético O;2023-02-24;EN VENTA Anticrético o alquiler una casa con todos los servicios, Zenaida norte Sacaba km. 6 1/2. 77997585.;;Cochabamba -  Venta -  Casa / Chalet;/anuncio/inmuebles/en-venta-anticretico-o/1981524
23;Vendo Pequeño Departamento Amoblado;2023-02-24;VENDO Pequeño departamento amoblado y equipado, edificio céntrico, 41 m2. Ref. 72048089.;;Cochabamba -  Venta -  Departamento;/anuncio/inmuebles/vendo-pequeno-departamento-amoblado/1981536
24;Ultimos Lotes Zona Itocta;2023-02-24;ULTIMOS lotes, zona Itocta, frente Urb. Bolívar. 75469949, 78300788, 500 mts y 1.000 mts.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/ultimos-lotes-zona-itocta/1981543
25;Vendo Lote 500 M2;2023-02-24;VENDO lote, 500 m2, Colcapirhua, zona norte, 85.000 $us. 62743524.;$us 85 000;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/vendo-lote-500-m2/1981544
26;Vendo Terreno De 1421;2023-02-24;VENDO Terreno de 1421 m2 cerca de la Blanco Galindo - 77264815;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/vendo-terreno-de-1421/1981545
27;Lote En Venta De;2023-02-24;LOTE en venta, de 355 metros, en Chacacollo, llamar. 68532922.;;Cochabamba -  Venta -  Lote / Terreno;/anuncio/inmuebles/lote-en-venta-de/1981546
28;Ocasion Venta Espacio Cementerio;2023-02-24;OCASION Venta espacio cementerio Concordia Colcapirhua Sector Los Cedros Cel. 70357820;;Cochabamba -  Venta -  Varios;/anuncio/inmuebles/ocasion-venta-espacio-cementerio/1981551
29;1 000 Bs Garzonier;2023-02-24;1.000 BS. Garzonier alquiler +patio independiente planta baja todas dependencias Benjo Cruz A 5 pasos Cruce Taquiña 77994624 Whatsapp;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/1-000-bs-garzonier/1981557
30;Bs 1 900 Departamento;2023-02-24;BS. 1.900 departamento con o sin muebles, con garaje, 2 dormitorios, incluye agua, luz, cable, internet, zona centro de salud Sarcobamba, Rafael Mendoza 1540 Esq. Udaeta. Ref. Cel. 72286100, 71750504, 4522571.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/bs-1-900-departamento/1981558
31;En Alquiler Departamentos Amoblados;2023-02-24;EN ALQUILER departamentos amoblados, 2 dormitorios, próximo a plaza Colón. Cel. 71722097.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/en-alquiler-departamentos-amoblados/1981559
32;Alquilo Pequeño Garzonier 1;2023-02-24;ALQUILO pequeño garzonier (1 persona), C. Garcilazo de la Vega 0638, entre Guamán Poma y Av. d'Orbigny. Telf. 4241823.;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/alquilo-pequeno-garzonier-1/1981560
33;1 100 Bs Cruce;2023-02-24;1.100 BS. Cruce Taquiña bonito garzonier alquiler 1Dormitorio +roperos empotrados dependencias patio 77994624 Whatsapp;;Cochabamba -  Alquiler -  Departamento;/anuncio/inmuebles/1-100-bs-cruce/1981561
34;En Alquiler Sala Para;2023-02-24;EN ALQUILER sala para reuniones, capacidad 35 personas, próximo plaza Colón. Cel. 71722097.;;Cochabamba -  Alquiler -  Local Comercial;/anuncio/inmuebles/en-alquiler-sala-para/1981562
35;2 Cuartos En Alquiler;2023-02-24;2 CUARTOS en alquiler, con cocina, con gas domiciliario, baño independiente, zona Temporal, calle Mostajo y Quevedo. Telf. 77490619.;;Cochabamba -  Alquiler -  Habitación;/anuncio/inmuebles/2-cuartos-en-alquiler/1981563
36;Alquiler Habitación Céntrica Amoblado;2023-02-24;ALQUILER habitación, céntrica, amoblado, para estudiante, cerca a Universidades, Paccieri, Oquendo. 69529060, 4534490.;;Cochabamba -  Alquiler -  Habitación;/anuncio/inmuebles/alquiler-habitacion-centrica-amoblado/1981564
37;Alquiler Habitaciones Cerca Umss;2023-02-24;ALQUILER habitaciones, cerca UMSS, Hospital Viedma, facultad Medicina, Odontología, para estudiantes o persona sola. 79368609.;;Cochabamba -  Alquiler -  Habitación;/anuncio/inmuebles/alquiler-habitaciones-cerca-umss/1981565
38;Casa En Anticrético Consta;2023-02-24;CASA en anticrético, consta de 3 apartamentos en cada planta, independiente, con garaje, jardín y patio amplio, apto para restaurante, consta de 500 m2, ubicado en pacata Baja, Villa Barrientos, calle Monte Alegre, llame. 65614608.;;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/casa-en-anticretico-consta/1981570
39;Vivienda Independiente 25 000;2023-02-24;VIVIENDA independiente, 25.000 $us, zona Hipódromo. Cel. 75967364, 60702881.;;Cochabamba -  Anticrético -  Casa / Chalet;/anuncio/inmuebles/vivienda-independiente-25-000/1981571
